,Country,Subcontinent,Region,In EU,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
82,Guadeloupe,Caribbean Islands,LATIN AMER. & CARIB,FALSE,452776,4610.1822,254.37,17.19,-0.15,8.6,8000,90,463.81,11.24,3.55,85.21,2,15.05,6.09,0.15,0.17,0.68
83,Guam,Oceania,OCEANIA,FALSE,171019,1401.18459,316.12,23.2,0,6.94,21000,99,491.96,9.09,16.36,74.55,2,18.79,4.48,,,
84,Guatemala,Mesoamerica,LATIN AMER. & CARIB,FALSE,12293545,282024.0111,112.9,0.37,-1.67,35.93,4100,70.6,92.09,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585
85,Guernsey,Europe,WESTERN EUROPE,FALSE,65409,202.01922,838.58,64.1,3.84,4.71,20000,,842.39,,,,3,8.81,10.01,0.03,0.1,0.87
86,Guinea,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,9690222,636767.17143,39.41,0.13,-3.06,90.37,2100,35.9,2.7,3.63,2.58,93.79,2,41.76,15.48,0.237,0.362,0.401
87,Guinea-Bissau,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,1442029,93550.4388,39.92,0.97,-1.57,107.17,800,42.4,7.35,10.67,8.82,80.51,2,37.22,16.53,0.62,0.12,0.26
88,Guyana,South America,LATIN AMER. & CARIB,FALSE,767245,556770.1503,3.57,0.21,-2.07,33.26,4000,98.8,143.5,2.44,0.15,97.41,2,18.28,8.28,0.37,0.203,0.427
89,Haiti,Caribbean Islands,LATIN AMER. & CARIB,FALSE,8308504,71872.2225,299.41,6.38,-3.4,73.45,1600,52.9,16.85,28.3,11.61,60.09,2,36.44,12.17,0.28,0.2,0.52
90,Honduras,Mesoamerica,LATIN AMER. & CARIB,FALSE,7326496,290311.9791,65.36,0.73,-1.99,29.32,2600,76.2,67.48,9.55,3.22,87.23,2,28.24,5.28,0.139,0.312,0.549
91,Hong Kong,East Asia,ASIA (EX. NEAR EAST),FALSE,6940432,2828.26908,6355.71,67.12,5.24,2.97,28800,93.5,546.74,5.05,1.01,93.94,2,7.29,6.29,0.001,0.092,0.906
92,Hungary,Europe,EASTERN EUROPE,TRUE,9981334,240946.7697,107.29,0,0.86,8.57,13900,99.4,336.23,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651
93,Iceland,Europe,WESTERN EUROPE,FALSE,299388,266768.97,2.91,4.83,2.38,3.31,30900,99.9,647.65,0.07,0,99.93,3,13.64,6.72,0.086,0.15,0.765
94,India,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,1095351995,8514825.2241,333.18,0.21,-0.07,56.29,2900,59.5,45.42,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538
95,Indonesia,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,245452739,4971330.4056,127.88,2.85,0,35.6,3200,87.9,52.03,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408
96,Iran,West & Central Asia,ASIA (EX. NEAR EAST),FALSE,68688433,4268303.52,41.68,0.15,-0.84,41.58,7000,79.4,276.41,8.72,1.39,89.89,1,17,5.55,0.116,0.424,0.46
97,Iraq,West & Central Asia,NEAR EAST,FALSE,26783383,1132012.10928,61.28,0.01,0,50.25,1500,40.4,38.61,13.15,0.78,86.07,1,31.98,5.37,0.073,0.666,0.261
98,Ireland,Europe,WESTERN EUROPE,TRUE,4062235,182024.4972,57.8,2.06,4.99,5.39,29600,98,500.46,15.2,0.03,84.77,3,14.45,7.82,0.05,0.46,0.49
99,Isle of Man,Europe,WESTERN EUROPE,FALSE,75441,1481.47428,131.89,27.97,5.36,5.93,21000,,676.02,9,0,91,3,11.05,11.19,0.01,0.13,0.86
100,Israel,West & Central Asia,NEAR EAST,FALSE,6352117,53794.0923,305.83,1.31,0.68,7.03,19800,95.4,462.26,16.39,4.17,79.44,3,17.97,6.18,0.026,0.317,0.657
101,Italy,Europe,WESTERN EUROPE,TRUE,58133509,780182.6877,192.99,2.52,2.07,5.94,26700,98.6,430.89,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688
102,Jamaica,Caribbean Islands,LATIN AMER. & CARIB,FALSE,2758124,28466.58009,250.94,9.3,-4.92,12.36,3900,87.9,124,16.07,10.16,73.77,2,20.82,6.52,0.049,0.337,0.615
103,Japan,East Asia,ASIA (EX. NEAR EAST),FALSE,127463611,978588.87165,337.35,7.87,0,3.26,28200,99,461.15,12.19,0.96,86.85,3,9.37,9.16,0.017,0.258,0.725
104,Jersey,Europe,WESTERN EUROPE,FALSE,91084,300.43884,785.21,60.34,2.76,5.24,24800,,811.34,0,0,100,3,9.3,9.28,0.05,0.02,0.93
105,Jordan,West & Central Asia,NEAR EAST,FALSE,5906760,239056.077,64,0.03,6.59,17.35,4300,91.3,104.51,2.67,1.83,95.5,1,21.25,2.65,0.033,0.287,0.68
106,Kazakhstan,West & Central Asia,C.W. OF IND. STATES,FALSE,15233244,7037779.827,5.61,0,-3.35,29.21,6300,98.4,164.11,7.98,0.05,91.97,4,16,9.42,0.067,0.386,0.547
107,Kenya,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,34707817,1509057.6735,59.57,0.09,-0.1,61.47,1000,85.1,8.12,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
108,Kiribati,Oceania,OCEANIA,FALSE,105432,2100.48189,130,140.94,0,48.52,800,,42.68,2.74,50.68,46.58,2,30.65,8.26,0.089,0.242,0.668
109,"Korea, North",East Asia,ASIA (EX. NEAR EAST),FALSE,23113019,312197.3946,191.75,2.07,0,24.04,1300,99,42.4,20.76,2.49,76.75,3,15.54,7.13,0.3,0.34,0.36
110,"Korea, South",East Asia,ASIA (EX. NEAR EAST),FALSE,48846823,255062.2152,496.01,2.45,0,7.05,17800,97.9,486.11,17.18,1.95,80.87,3,10,5.85,0.033,0.403,0.563
111,Kuwait,West & Central Asia,NEAR EAST,FALSE,2418393,46153.6218,135.71,2.8,14.18,9.95,19000,83.5,211.01,0.73,0.11,99.16,1,21.94,2.41,0.004,0.479,0.516
112,Kyrgyzstan,West & Central Asia,C.W. OF IND. STATES,FALSE,5213898,514113.015,26.27,0,-2.45,35.64,1600,97,84.04,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439
113,Laos,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,6368481,613309.632,26.89,0,0,85.22,1700,66.4,14.14,3.8,0.35,95.85,2,35.49,11.55,0.455,0.287,0.258
114,Latvia,Europe,BALTICS,TRUE,2274735,167284.86411,35.22,0.82,-2.23,9.55,10200,99.8,321.36,29.67,0.47,69.86,3,9.24,13.66,0.04,0.261,0.699
115,Lebanon,West & Central Asia,NEAR EAST,FALSE,3874050,26935.896,372.5,2.16,0,24.52,4800,87.4,255.55,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67
116,Lesotho,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,2022331,78619.14645,66.62,0,-0.74,84.23,3000,84.8,23.73,10.87,0.13,89,3,24.75,28.71,0.163,0.443,0.394
117,Liberia,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,3042004,288447.1863,27.31,0.52,0,128.87,1000,57.5,2.27,3.95,2.28,93.77,2,44.77,23.1,0.769,0.054,0.177
118,Libya,North Africa,NORTHERN AFRICA,FALSE,5900754,4557191.0046,3.35,0.1,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425
119,Liechtenstein,Europe,WESTERN EUROPE,FALSE,33987,414.3984,212.42,0,4.85,4.7,25000,100,585.52,25,0,75,4,10.21,7.18,0.06,0.39,0.55
120,Lithuania,Europe,BALTICS,TRUE,3585906,168867.348,55,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62
121,Luxembourg,Europe,WESTERN EUROPE,TRUE,474413,6697.71414,183.45,0,8.97,4.81,55100,100,515.37,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86
122,Macau,East Asia,ASIA (EX. NEAR EAST),FALSE,453125,72.51972,16183.04,146.43,4.86,4.39,19400,94.5,384.88,0,0,100,2,8.48,4.47,0.001,0.072,0.927
123,Macedonia,Europe,EASTERN EUROPE,FALSE,2050554,65612.21667,80.94,0,-1.45,10.09,6700,,260.03,22.26,1.81,75.93,3,12.02,8.77,0.118,0.319,0.563
124,Madagascar,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,18595469,1520427.7296,31.68,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,0.276,0.165,0.559
125,Malawi,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,13013926,306862.0152,109.84,0,0,103.32,600,62.7,7.89,23.38,1.49,75.13,2,43.13,19.33,0.342,0.158,0.499
126,Malaysia,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,24385858,854049.2025,73.95,1.42,0,17.7,9000,88.7,179.04,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436
127,Maldives,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,359008,776.997,1196.69,214.67,0,56.52,3900,97.2,89.97,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62
128,Mali,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,11716829,3211587.6,9.45,0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38
129,Malta,Europe,WESTERN EUROPE,TRUE,400214,818.43684,1266.5,62.28,2.07,3.89,17700,92.8,504.98,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74
130,Marshall Islands,Oceania,OCEANIA,FALSE,60422,30701.74146,5.1,3.12,-6.04,29.45,1600,93.7,91.19,16.67,38.89,44.44,2,33.05,4.78,0.317,0.149,0.534
131,Martinique,Caribbean Islands,LATIN AMER. & CARIB,FALSE,436131,2848.989,396.48,31.82,-0.05,7.09,14400,97.7,394.38,10.38,9.43,80.19,2,13.74,6.48,0.06,0.11,0.83
